Student_ID,Study_Hours,Social_Media_Hours,Sleep_Hours,Attendance,Assignment_Score,Final_Grade
118,3,3,8,69,70,71
119,6,5,9,99,100,101
120,1,4,8,71,72,73
121,4,8,5,82,83,84
122,3,3,9,56,57,58
123,6,2,8,97,98,99
124,2,2,4,77,78,79
125,8,3,6,84,85,86
126,1,8,6,79,80,81
127,8,1,8,71,72,73
128,7,5,7,63,64,65
129,1,4,8,89,90,91
130,4,5,4,82,83,84
131,5,2,6,65,66,67
132,5,1,9,51,52,53
133,6,4,6,56,57,58
134,4,7,6,62,63,64
135,6,2,6,51,52,53
136,2,2,8,60,61,62
137,2,6,8,59,60,61
138,8,3,4,81,82,83
139,5,8,5,50,51,52
140,5,4,7,59,60,61
141,4,7,4,55,56,57
142,7,3,7,83,84,85
143,1,3,5,88,89,90
144,2,3,6,57,58,59
145,8,3,9,56,57,58
146,6,1,9,61,62,63
147,5,4,5,52,53,54
148,5,4,6,98,99,100
149,5,1,6,82,83,84
150,6,3,7,93,94,95
151,6,4,8,87,88,89
152,7,7,8,96,97,98
153,8,5,5,65,66,67
154,8,5,6,98,99,100
155,1,6,9,95,96,97
156,8,3,7,74,75,76
157,6,7,7,93,94,95
158,6,3,7,56,57,58
159,5,5,5,80,81,82
160,4,8,8,71,72,73
161,7,2,5,64,65,66
162,4,2,6,94,95,96
163,7,6,7,63,64,65
164,5,8,5,93,94,95
165,1,6,6,78,79,80
166,4,2,5,83,84,85
167,3,8,6,68,69,70
168,1,7,8,81,82,83
169,2,2,4,80,81,82
170,3,2,4,51,52,53
171,1,2,5,75,76,77
172,4,3,6,74,75,76
173,6,8,5,72,73,74
174,7,4,4,61,62,63
175,8,4,4,87,88,89
176,3,2,6,99,100,101
177,3,4,6,62,63,64
178,2,6,4,84,85,86
179,5,3,4,96,97,98
180,1,1,8,55,56,57
181,7,7,7,72,73,74
182,6,2,7,55,56,57
183,3,8,8,83,84,85
184,5,8,7,94,95,96
185,1,8,7,53,54,55
186,4,6,5,77,78,79
187,3,5,9,94,95,96
188,8,7,7,72,73,74
189,2,7,6,72,73,74
190,7,8,9,65,66,67
191,3,3,9,62,63,64
192,7,7,6,100,101,102
193,7,8,5,62,63,64
194,1,6,6,72,73,74
195,2,6,4,70,71,72
196,4,5,6,78,79,80
197,2,4,7,50,51,52
198,7,8,5,86,87,88
199,8,7,7,78,79,80
200,2,4,9,57,58,59
